new_column,original_topic,original_question
alc__alcohol_hs,Alcohol,Alcohol use among high school students
alc__binge_adult,Alcohol,Binge drinking prevalence among adults
alc__binge_hs,Alcohol,Binge drinking prevalence among high school students
arth__activity_limit_arth,Arthritis,Activity limitation due to arthritis among adults with arthritis
arth__arth_adult,Arthritis,Arthritis among adults
arth__self_mgmt_class_arth,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis
arth__inactive_arth,Arthritis,Physical inactivity among adults with arthritis
arth__pa_counsel_arth,Arthritis,Received health care provider counseling for physical activity among adults with arthritis
arth__severe_joint_pain_arth,Arthritis,Severe joint pain among adults with arthritis
arth__work_limit_arth_18_64,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis
asth__asthma_adult,Asthma,Current asthma among adults
can__screen_cervical_w21_65,Cancer,Cervical cancer screening among women aged 21-65 years
can__screen_colorectal_45_75,Cancer,Colorectal cancer screening among adults aged 45-75 years
can__mammo_w50_74,Cancer,Mammography use among women aged 50-74 years
cvd__hbp_adult,Cardiovascular Disease,High blood pressure among adults
cvd__high_chol_screened_adult,Cardiovascular Disease,High cholesterol among adults who have been screened
cvd__med_high_chol_adult,Cardiovascular Disease,Taking medicine for high cholesterol among adults
cvd__med_hbp_adult,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure
copd__copd_adult,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults
copd__smoking_copd_adult,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease
cog__scd_discussed_hcp_45plus,Cognitive Health and Caregiving,Discussed symptoms of subjective cognitive decline with a health care professional among adults aged 45 years and older with subjective cognitive decline
cog__caregiver_friend_family_adult,Cognitive Health and Caregiving,Provided care for a friend or family member in the past month among adults
cog__caregiver_dementia_adult,Cognitive Health and Caregiving,Provided care for someone with dementia or other cognitive impairment in the past month among adults
cog__scd_45plus,Cognitive Health and Caregiving,Subjective cognitive decline among adults aged 45 years and older
dm__diabetes_adult,Diabetes,Diabetes among adults
dm__gest_diabetes_recent_birth,Diabetes,Gestational diabetes among women with a recent live birth
dis__any_disability_adult,Disability,Adults with any disability
hs__chronic2plus_adult,Health Status,2 or more chronic conditions among adults
hs__fair_poor_health_adult,Health Status,Fair or poor self-rated health status among adults
hs__phys_distress_freq_adult,Health Status,Frequent physical distress among adults
imm__flu_vax_adult,Immunization,Influenza vaccination among adults
imm__flu_vax_risk_18_64,Immunization,Influenza vaccination among adults 18â€“64 who are at increased risk
imm__pneumo_vax_risk_18_64,Immunization,Pneumococcal vaccination among adults aged 18â€“64 years who are at increased risk
imm__pneumo_vax_65plus,Immunization,Pneumococcal vaccination among adults aged 65 years and older
state_abbr,LocationAbbr,
state_name,LocationDesc,
mat__postpartum_check_recent_birth,Maternal Health,Postpartum checkup among women with a recent live birth
mh__poor_mh_hs,Mental Health,Current poor mental health among high school students
mh__depression_adult,Mental Health,Depression among adults
mh__mental_distress_freq_adult,Mental Health,Frequent mental distress among adults
mh__postpartum_depr_recent_birth,Mental Health,Postpartum depressive symptoms among women with a recent live birth
npaw__pa_guideline_6_13,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline
